antecedents,consequents,support,confidence,lift,count,antecedent_count,consequent_count
kw_đẹp,"sentiment_positive, sản_phẩm_đẹp",0.27167310877967976,0.7961165048543689,2.860648790260441,984,1236,1008
sản_phẩm_đẹp,"kw_đẹp, sentiment_positive",0.27167310877967976,0.9027522935779817,2.8482306684141547,984,1090,1148
"kw_đẹp, sentiment_positive",sản_phẩm_đẹp,0.27167310877967976,0.8571428571428571,2.8482306684141547,984,1148,1090
"giá_rẻ_hợp_lý, kw_đẹp",sản_phẩm_đẹp,0.02816123688569851,0.8571428571428571,2.8482306684141547,102,119,1090
"kw_tốt, sản_phẩm_đẹp",kw_đẹp,0.046935394809497516,0.9714285714285714,2.846694405917707,170,175,1236
chất_lượng_tốt,"kw_tốt, sentiment_positive",0.037272225289895086,0.6164383561643836,2.7909246575342466,135,219,800
review_nhận_xu,sentiment_nonpositive,0.03368304803975704,0.6777777777777778,2.76453953953954,122,180,888
chất_lượng_tốt,kw_tốt,0.04003313086692435,0.6621004566210046,2.7220520475383414,145,219,881
shop_tốt,sentiment_positive,0.047487575924903366,0.9828571428571429,1.302087992475703,172,175,2734
kw_êm,sentiment_positive,0.03754831584759801,0.9714285714285714,1.2869474344236598,136,140,2734
"kw_tốt, kw_đẹp",sentiment_positive,0.051628934290447265,0.9689119170984456,1.2836133737127178,187,193,2734
"kw_tốt, sản_phẩm_đẹp",sentiment_positive,0.04638321369409166,0.96,1.2718068763716168,168,175,2734
"kw_nhanh, kw_đẹp",sentiment_positive,0.026228602981778024,0.9405940594059405,1.2460979089862168,95,101,2734
"giá_rẻ_hợp_lý, kw_tốt",sentiment_positive,0.02567642186637217,0.9393939393939394,1.2445079913989938,93,99,2734
"kw_rẻ, kw_đẹp",sentiment_positive,0.027056874654886803,0.9333333333333333,1.2364789075835163,98,105,2734
"chất_lượng_tốt, kw_tốt",sentiment_positive,0.037272225289895086,0.9310344827586207,1.2334333930328178,135,145,2734
kw_đẹp,sentiment_positive,0.3169519602429597,0.9288025889967637,1.2304765827894215,1148,1236,2734
sản_phẩm_đẹp,sentiment_positive,0.27829928216454997,0.9247706422018349,1.2251350643946768,1008,1090,2734
"giá_rẻ_hợp_lý, kw_đẹp",sentiment_positive,0.030369961347321922,0.9243697478991597,1.2246039600917178,110,119,2734
"kw_đẹp, sản_phẩm_đẹp",sentiment_positive,0.27167310877967976,0.923943661971831,1.2240394819539036,984,1065,2734
"giao_hàng_nhanh, kw_nhanh",sentiment_positive,0.05438983986747653,0.9162790697674419,1.2138854391725218,197,215,2734
"giá_rẻ_hợp_lý, sản_phẩm_đẹp",sentiment_positive,0.026228602981778024,0.9134615384615384,1.21015277699623,95,104,2734
"giá_rẻ_hợp_lý, kw_rẻ",sentiment_positive,0.02788514632799558,0.9099099099099099,1.2054475836480227,101,111,2734
kw_tốt,sentiment_positive,0.22087244616234125,0.9080590238365494,1.2029955319443972,800,881,2734
kw_rẻ,sentiment_positive,0.05797901711761458,0.9012875536480687,1.1940246961643397,210,233,2734
kw_nhanh,sentiment_positive,0.0842076200993926,0.8997050147492626,1.1919281504834782,305,339,2734
sẽ_mua_lại,sentiment_positive,0.03865267807840972,0.8974358974358975,1.188922026522612,140,156,2734
giao_hàng_nhanh,sentiment_positive,0.06322473771397018,0.8875968992248062,1.1758873332085766,229,258,2734
giá_rẻ_hợp_lý,sentiment_positive,0.09745996686913308,0.8444976076555024,1.1187894421829663,353,418,2734
chất_lượng_tốt,sentiment_positive,0.048868028713418,0.8082191780821918,1.0707278211461957,177,219,2734
âm_thanh_tốt,sentiment_positive,0.05963556046383214,0.8,1.059839063643014,216,270,2734
